Cluster,customer_number,total_spend,num_of_unique_visits,total_quantity,average_basket_quantity,average_basket_spend,SUM_basket_categories,avg_spend_veg_category,avg_spend_other_food_category,avg_spend_miscelleanous_category
1,5888,801.91,45,429,1.1201044386422976,2.09,228,1.1257004830917876,2.4196491228070176,3.0417647058823527
1,5942,435.82,19,227,1.1182266009852215,2.15,104,1.0940776699029129,2.78725,2.276136363636364
1,5951,766.3,40,397,1.188622754491018,2.29,198,1.3356204379562042,1.6092783505154635,2.620981595092025
1,5984,1128.27,39,420,1.1506849315068493,3.09,212,0.9472850678733032,2.9009090909090918,7.280897435897436
1,6028,484.06,53,335,1.2737642585551332,1.84,195,1.0347899159663865,0.9798666666666668,3.241515151515152
1,6073,491.52,73,548,1.8389261744966443,1.65,180,0.5478366445916115,1.733661971830986,5.010833333333334
1,6074,554.29,35,285,1.0714285714285714,2.08,167,0.6369811320754717,1.0253061224489797,2.5698907103825133
1,6160,479.75,26,323,1.2281368821292775,1.82,162,1.1221705426356587,1.146938775510204,2.3186458333333326
1,6245,433.78,32,241,1.1209302325581396,2.02,144,0.9415533980582524,2.5438823529411767,2.2749056603773585
1,6250,540.51,34,231,1.2419354838709675,2.91,129,1.1984,2.3859374999999994,2.959294117647058
1,6267,569.32,48,271,1.4491978609625669,3.04,146,1.3110714285714284,1.4648333333333334,2.9236220472440944
1,6292,456.08,63,326,1.1280276816608996,1.58,218,1.1959541984732829,1.250888888888889,2.1756666666666664
1,6305,667.22,54,254,1.3298429319371727,3.49,159,0.9386046511627908,2.48271186440678,3.1603947368421057
1,6327,665.08,39,298,1.231404958677686,2.75,169,1.180709219858156,1.2247945205479451,4.871309523809525
1,6335,375.41,21,169,1.2426470588235294,2.76,89,1.0467415730337075,1.758536585365854,5.388461538461537
1,6350,569.77,24,239,1.2256410256410255,2.92,131,0.9542372881355932,2.3697701149425288,3.304301075268817
1,6523,573.1800000000001,32,158,1.0821917808219177,3.93,106,1.277,3.5334666666666665,5.0916981132075465
1,6537,648.05,62,312,1.204633204633205,2.5,188,1.0329365079365078,2.0500000000000003,3.5848314606741574
1,6538,936.54,45,315,1.1371841155234657,3.38,208,1.3248837209302324,1.606818181818182,10.184905660377355
1,6540,296.86,25,163,1.7717391304347827,3.23,57,0.9680701754385964,1.9144,8.373333333333333
1,6622,530.17,47,229,1.3550295857988166,3.14,82,1.2643589743589745,2.585085714285714,1.898
1,6701,800.25,74,190,2.111111111111111,8.89,90,2.12,2.0075,4.306263736263737
1,6748,435.47,39,284,1.1784232365145229,1.81,171,1.1445689655172415,1.1204424778761064,3.2016363636363643
1,6832,820.45,49,410,1.19533527696793,2.39,230,1.4305494505494507,2.4505063291139235,2.4701428571428568
1,6834,525.73,52,216,1.2272727272727273,2.99,149,0.9815714285714284,3.114777777777777,3.1551785714285714
1,6856,574.39,66,302,1.1526717557251909,2.19,196,1.3345882352941176,2.133975903614457,2.0923529411764705
1,6920,799.87,33,411,1.126027397260274,2.19,209,1.52,2.4682386363636364,1.6649122807017545
1,6939,896.09,65,296,1.8853503184713376,5.71,137,0.7020000000000001,1.5987142857142858,3.738543689320388
1,6948,493.5,53,365,1.1812297734627832,1.6,225,0.7435761589403974,1.2506451612903224,3.1757627118644067
1,6950,291.45,24,90,1.2857142857142856,4.16,63,1.0033333333333334,2.677674418604651,5.039375
1,6954,315.21,18,158,1.144927536231884,2.28,67,1.1261249999999998,1.905897435897436,3.866410256410256
1,6981,737.46,49,426,1.2136752136752136,2.1,211,0.9780203045685276,1.1493877551020408,3.298854961832061
1,7041,686.41,32,263,1.0691056910569106,2.79,178,1.472873563218391,3.0263565891472863,3.571702127659574
1,7053,485.1,42,290,1.25,2.09,187,1.1304672897196262,1.7426605504587156,2.353918918918919
1,7068,647.19,48,345,1.2410071942446044,2.33,182,1.2205825242718449,2.2223926380368093,2.015443037974684
1,7077,384.55,38,194,1.3108108108108107,2.6,104,0.6153246753246754,1.942456140350877,3.7741666666666656
1,7083,1413.95,20,585,1.3356164383561644,3.23,192,1.2915901060070671,3.1864015151515157,5.453157894736842
1,7093,645.4,25,375,1.3066202090592334,2.25,147,1.1219266055045871,1.3280769230769232,2.872090909090909
1,7127,656.33,46,376,1.1157270029673592,1.95,190,1.4172361809045224,2.294237288135593,1.755593220338983
1,7299,637.84,50,309,1.4372093023255814,2.97,165,1.1198571428571429,1.3168333333333335,2.684022346368715
1,7330,429.66,62,322,1.248062015503876,1.67,195,0.6308870967741934,1.012391304347826,2.4366981132075467
